1899 13838
1 2 1.0
1 9 1.0
1 10 2.0
1 14 2.0
1 19 3.0
1 21 1.0
1 22 1.0
1 29 2.0
1 33 1.0
1 34 1.0
3 1 35.0
3 2 7.0
3 7 4.0
3 12 8.0
3 18 2.0
3 19 1.0
3 21 1.0
3 23 2.0
3 24 1.0
3 29 3.0
3 30 1.0
3 35 1.0
3 36 1.0
3 37 4.0
3 38 1.0
3 41 1.0
3 42 1.0
3 43 1.0
3 46 1.0
3 47 3.0
3 49 1.0
3 50 1.0
3 53 1.0
3 54 1.0
3 55 3.0
3 57 1.0
3 58 2.0
3 59 1.0
3 61 1.0
3 62 2.0
3 63 2.0
3 64 1.0
3 65 7.0
3 66 2.0
3 67 2.0
3 68 1.0
3 69 1.0
3 70 1.0
3 71 3.0
3 72 1.0
3 73 1.0
3 74 1.0
3 75 1.0
3 76 1.0
3 77 6.0
3 78 1.0
3 80 1.0
3 81 1.0
3 82 1.0
3 83 1.0
3 89 1.0
3 90 1.0
3 91 2.0
3 93 2.0
3 94 1.0
3 95 1.0
3 96 1.0
3 97 1.0
3 98 1.0
3 100 2.0
3 101 1.0
3 102 1.0
3 103 1.0
3 104 3.0
3 105 1.0
3 106 2.0
3 107 1.0
3 108 1.0
3 109 1.0
3 110 2.0
3 111 1.0
3 112 2.0
3 113 2.0
3 114 1.0
3 115 1.0
3 117 1.0
3 118 2.0
3 119 1.0
3 120 5.0
3 121 1.0
3 123 2.0
3 124 2.0
3 125 1.0
3 126 1.0
3 127 1.0
3 128 1.0
3 129 1.0
3 130 1.0
3 131 1.0
3 132 1.0
3 133 1.0
3 134 1.0
3 137 1.0
3 138 1.0
3 139 2.0
3 140 1.0
3 141 1.0
3 142 1.0
3 143 2.0
3 144 1.0
3 145 2.0
3 146 1.0
3 147 1.0
3 148 1.0
3 149 1.0
3 150 1.0
3 151 2.0
3 152 1.0
3 153 1.0
3 154 1.0
3 155 1.0
3 157 1.0
3 158 1.0
3 160 1.0
3 161 2.0
3 163 1.0
3 164 1.0
3 165 1.0
3 166 1.0
3 167 1.0
3 168 1.0
3 169 1.0
3 170 1.0
3 171 1.0
3 172 1.0
3 173 1.0
3 177 1.0
3 179 1.0
3 180 1.0
3 181 1.0
3 182 1.0
3 183 1.0
3 185 1.0
3 186 1.0
3 187 1.0
3 188 1.0
3 190 1.0
3 191 1.0
4 1 4.0
4 614 4.0
5 1 1.0
5 3 19.0
5 20 1.0
5 36 25.0
5 37 1.0
5 41 4.0
5 42 1.0
5 44 2.0
5 45 1.0
5 64 1.0
5 84 1.0
5 105 1.0
5 125 1.0
5 134 1.0
5 175 1.0
5 228 1.0
5 232 12.0
5 235 2.0
5 244 1.0
5 254 16.0
5 266 5.0
5 287 1.0
5 305 1.0
5 321 1.0
5 364 1.0
5 365 1.0
5 386 2.0
5 407 1.0
5 425 1.0
5 431 1.0
5 475 2.0
5 519 1.0
5 521 1.0
5 542 1.0
5 543 1.0
5 548 1.0
5 563 1.0
5 564 1.0
5 616 1.0
5 617 1.0
5 618 1.0
5 619 1.0
5 620 2.0
5 621 1.0
5 622 1.0
5 623 1.0
5 634 1.0
5 635 1.0
5 640 1.0
5 642 1.0
5 643 1.0
5 646 1.0
5 649 1.0
5 654 1.0
5 660 1.0
5 662 2.0
5 663 1.0
5 664 1.0
5 665 1.0
5 667 1.0
5 669 1.0
5 670 2.0
5 671 1.0
5 672 1.0
5 674 1.0
5 675 1.0
5 676 1.0
5 677 1.0
5 678 1.0
5 679 1.0
5 683 1.0
5 684 1.0
5 685 1.0
5 686 1.0
5 687 1.0
6 1 12.0
6 3 9.0
6 5 2.0
6 18 5.0
6 41 1.0
6 42 6.0
6 47 3.0
6 48 1.0
6 49 1.0
6 50 7.0
6 52 1.0
6 60 5.0
6 69 3.0
6 72 1.0
6 155 1.0
6 194 5.0
6 197 11.0
6 198 2.0
6 200 1.0
6 204 3.0
6 211 4.0
6 222 1.0
6 233 3.0
6 236 2.0
6 237 6.0
6 244 1.0
6 246 5.0
6 263 1.0
6 264 1.0
6 267 1.0
6 275 7.0
6 278 1.0
6 293 1.0
6 332 1.0
6 333 4.0
6 443 1.0
6 445 2.0
6 447 2.0
6 462 1.0
6 512 1.0
6 533 2.0
6 576 6.0
6 600 1.0
6 627 1.0
6 698 1.0
6 699 2.0
6 700 1.0
6 701 4.0
6 702 1.0
6 704 2.0
6 705 2.0
6 706 2.0
6 707 1.0
6 708 5.0
6 709 5.0
6 710 6.0
6 711 2.0
6 712 1.0
6 713 2.0
6 714 4.0
6 715 2.0
6 716 2.0
6 717 2.0
6 718 1.0
6 719 2.0
6 720 1.0
6 721 1.0
6 722 1.0
6 723 1.0
6 724 3.0
6 726 2.0
6 727 1.0
6 728 1.0
6 729 1.0
6 730 2.0
7 1 4.0
7 5 1.0
7 38 3.0
7 39 2.0
7 63 1.0
7 78 1.0
7 82 1.0
7 113 1.0
7 118 1.0
7 137 1.0
7 154 1.0
7 215 1.0
7 244 1.0
7 312 2.0
7 337 1.0
7 348 1.0
7 373 1.0
7 388 2.0
7 406 1.0
7 411 1.0
7 563 1.0
7 574 1.0
7 587 1.0
7 610 1.0
7 638 1.0
7 646 1.0
7 677 1.0
7 738 1.0
7 778 1.0
7 784 1.0
7 794 1.0
7 797 1.0
7 799 1.0
7 804 2.0
7 807 1.0
7 808 1.0
7 810 3.0
7 812 1.0
7 816 1.0
7 820 1.0
7 821 1.0
7 823 1.0
7 824 1.0
7 826 1.0
7 827 1.0
7 828 1.0
7 830 1.0
7 831 1.0
7 835 1.0
7 838 1.0
7 839 1.0
7 843 1.0
7 844 1.0
7 845 2.0
7 846 1.0
7 848 1.0
7 851 1.0
7 852 1.0
7 854 1.0
7 858 1.0
7 860 1.0
8 1 5.0
8 3 5.0
8 5 2.0
8 6 2.0
8 27 1.0
8 40 1.0
8 42 2.0
8 47 1.0
8 48 5.0
8 49 4.0
8 63 2.0
8 71 4.0
8 77 3.0
8 145 1.0
8 196 2.0
8 198 5.0
8 204 2.0
8 222 1.0
8 233 3.0
8 246 2.0
8 255 1.0
8 263 4.0
8 278 1.0
8 326 1.0
8 471 1.0
8 520 1.0
8 586 2.0
8 617 1.0
8 621 1.0
8 699 1.0
8 701 2.0
8 709 9.0
8 713 6.0
8 717 3.0
8 719 1.0
8 722 1.0
8 863 1.0
8 864 1.0
8 866 5.0
8 867 1.0
8 869 2.0
8 870 2.0
8 871 2.0
8 872 2.0
8 873 1.0
8 874 1.0
8 876 1.0
8 877 5.0
8 880 1.0
8 881 1.0
8 882 1.0
9 5 2.0
9 39 1.0
9 40 1.0
9 44 2.0
9 48 1.0
9 64 2.0
9 217 1.0
9 263 4.0
9 292 18.0
9 1074 4.0
9 1075 1.0
9 1076 3.0
11 1 4.0
11 3 5.0
11 4 2.0
11 7 3.0
11 73 1.0
11 282 1.0
11 445 1.0
12 1 2.0
12 7 5.0
12 50 3.0
12 200 5.0
12 710 3.0
13 1 6.0
13 3 2.0
13 20 2.0
13 37 4.0
13 340 3.0
13 447 2.0
13 903 1.0
13 921 1.0
15 1 5.0
15 4 4.0
15 235 2.0
15 574 6.0
16 1 5.0
16 6 12.0
16 8 2.0
16 9 1.0
16 58 3.0
16 295 1.0
16 298 1.0
16 445 1.0
16 447 2.0
16 509 1.0
16 517 1.0
16 639 1.0
16 703 6.0
16 1064 1.0
16 1230 1.0
16 1285 1.0
16 1286 1.0
17 1 3.0
18 1 1.0
18 5 9.0
18 51 2.0
18 66 1.0
18 237 7.0
18 270 3.0
18 408 1.0
18 626 18.0
18 1068 2.0
19 7 1.0
19 18 8.0
19 40 1.0
19 52 4.0
19 77 1.0
19 123 1.0
19 237 6.0
19 446 1.0
19 447 1.0
19 631 1.0
19 708 3.0
19 713 2.0
19 717 2.0
19 766 1.0
19 865 2.0
19 912 1.0
19 954 9.0
19 1176 2.0
19 1396 1.0
19 1397 1.0
20 1 58.0
20 3 4.0
20 11 4.0
20 58 1.0
21 7 28.0
21 15 2.0
21 18 61.0
21 26 5.0
21 44 76.0
21 48 42.0
21 50 3.0
21 62 1.0
21 69 5.0
21 71 5.0
21 73 1.0
21 75 4.0
21 77 1.0
21 84 1.0
21 104 1.0
21 127 3.0
21 133 10.0
21 196 27.0
21 197 3.0
21 200 16.0
21 211 2.0
21 224 4.0
21 236 14.0
21 239 1.0
21 263 2.0
21 270 1.0
21 274 1.0
21 280 1.0
21 326 1.0
21 471 4.0
21 473 13.0
21 484 4.0
21 497 32.0
21 586 1.0
21 599 1.0
21 701 6.0
21 869 5.0
21 876 2.0
21 910 1.0
21 914 2.0
21 917 2.0
21 958 1.0
21 1002 1.0
21 1004 2.0
21 1005 1.0
21 1022 2.0
21 1065 5.0
21 1066 3.0
21 1079 1.0
21 1177 1.0
21 1277 86.0
21 1349 1.0
21 1427 2.0
21 1428 1.0
21 1429 1.0
21 1432 1.0
21 1434 2.0
21 1435 3.0
21 1436 1.0
21 1437 3.0
23 1 13.0
23 72 3.0
24 1 2.0
24 19 3.0
24 38 45.0
24 45 5.0
24 50 5.0
24 58 3.0
24 59 1.0
24 68 1.0
24 80 6.0
24 87 1.0
24 98 1.0
24 149 1.0
24 185 1.0
24 197 3.0
24 203 1.0
24 225 8.0
24 266 1.0
24 282 1.0
24 292 2.0
24 316 4.0
24 321 1.0
24 332 10.0
24 356 1.0
24 460 3.0
24 515 1.0
24 517 1.0
